Num,Type of Burrito,Restaurant,Address,Near by,Cost ($),Overall Rating (out of 5),Provide Free Chips ?,Recipe,URL,Notes
206,Surfin California,Lucha Libre North Park,3016 University Ave,North Park,8.25,3,Yes,Beef; Pico; Cheese; Fries; Shrimp; Sauce; Avocado,https://www.yelp.com/biz/lucha-libre-san-diego,
207,Nutty,Lucha Libre North Park,3016 University Ave,North Park,7.5,4.4,Yes,Cheese; Fries; Sour cream; Chicken; Rice; Sauce,https://www.yelp.com/biz/lucha-libre-san-diego,
208,Veg Out,Lucha Libre North Park,3016 University Ave,North Park,6.95,4.5,Yes,Beans; Lettuce; Bell; peper; Sauce; Mushroom; Avocado; Zucchini,https://www.yelp.com/biz/lucha-libre-san-diego,
209,Vegetarian,Lucha Libre North Park,3016 University Ave,North Park,5.25,3.25,Yes,Pico; Fries; Rice; Beans; Lettuce,https://www.yelp.com/biz/lucha-libre-san-diego,
210,Bean and cheese,Lucha Libre North Park,3016 University Ave,North Park,3.75,2,Yes,Cheese; Beans,https://www.yelp.com/biz/lucha-libre-san-diego,Bland
211,California - Steak,Lucha Libre North Park,3016 University Ave,North Park,7.5,3.9,Yes,Beef; Pico; Cheese; Fries; Sour cream,https://www.yelp.com/biz/lucha-libre-san-diego,"first bite sour cream, but probably the best steak I've had in a burrito"
212,California - Steak,Lucha Libre North Park,3016 University Ave,North Park,7.5,3.5,Yes,Beef; Pico; Cheese; Fries; Sour cream,https://www.yelp.com/biz/lucha-libre-san-diego,fries = 4
213,California - Pork Adobada,Lucha Libre North Park,3016 University Ave,North Park,7.5,3,Yes,Pico; Cheese; Fries; Sour cream; Pork,https://www.yelp.com/biz/lucha-libre-san-diego,
214,California - Pork Adobada,Lucha Libre North Park,3016 University Ave,North Park,7.5,4.25,Yes,Pico; Cheese; Fries; Sour cream; Pork,https://www.yelp.com/biz/lucha-libre-san-diego,
215,California - Pork Adobada,Lucha Libre North Park,3016 University Ave,North Park,7.5,4.5,Yes,Pico; Cheese; Fries; Sour cream; Pork,https://www.yelp.com/biz/lucha-libre-san-diego,
216,California - Chicken,Lucha Libre North Park,3016 University Ave,North Park,7.5,2.5,Yes,Pico; Guac; Cheese; Fries; Sour cream; Chicken,https://www.yelp.com/biz/lucha-libre-san-diego,
217,California - Chicken,Lucha Libre North Park,3016 University Ave,North Park,7.5,3,Yes,Pico; Cheese; Fries; Sour cream; Chicken,https://www.yelp.com/biz/lucha-libre-san-diego,"large, bt feels good in my hands"
218,Holy Moly,Lucha Libre North Park,3016 University Ave,North Park,7.5,3.5,Yes,Cheese; Sour cream; Chicken; Rice; Sauce,https://www.yelp.com/biz/lucha-libre-san-diego,
219,Holy Moly,Lucha Libre North Park,3016 University Ave,North Park,7.5,1.5,Yes,Cheese; Sour cream; Chicken; Rice; Sauce,https://www.yelp.com/biz/lucha-libre-san-diego,all meat at bottom 1/8th
220,Holy Moly,Lucha Libre North Park,3016 University Ave,North Park,7.5,4,Yes,Cheese; Sour cream; Chicken; Rice; Sauce,https://www.yelp.com/biz/lucha-libre-san-diego,
221,Holy Moly,Lucha Libre North Park,3016 University Ave,North Park,7.5,2,Yes,Cheese; Sour cream; Chicken; Rice; Sauce,https://www.yelp.com/biz/lucha-libre-san-diego,Ordered a specialty burrito and guess I was expecting an ordinary one! Sauce was good but overpowering; no veggies at all; overall just did not feel like a burrito.
222,Holy Moly,Lucha Libre North Park,3016 University Ave,North Park,7.5,4,Yes,Cheese; Sour cream; Chicken; Rice; Sauce,https://www.yelp.com/biz/lucha-libre-san-diego,
223,Pastor,Tacos La Bala,5800 Bellaire Blvd,Houston,4.99,2.5,No,,tacoslabala.com,Everything is in spanish. Get a taco or sope
224,Barbacoa,Tacos La Bala,5800 Bellaire Blvd,Houston,4.99,2.4,No,,tacoslabala.com,"Burritos cut in half, felt like a wrap instead of a burrito"
225,Adobada,Cancun Mexican & Seafood,5800 Bellaire Blvd,Houston,6.45,3.5,No,Guac; Pork; Cilantro; Onion,,Free salad
226,California,Cancun Mexican & Seafood,5800 Bellaire Blvd,Houston,6.99,4,No,Beef; Cheese; Fries; Sour cream,,
227,California,Roberto's Taco Shop Clairemont,3095 Clairemont Dr,Clairemont,5.79,3.6,No,Beef; Cheese; Fries,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,Fries are really good but the overall flavor is plain because lack of ingredients
228,California,Roberto's Taco Shop Clairemont,3095 Clairemont Dr,Clairemont,5.79,3,No,Beef; Cheese; Fries,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,
229,California + Guac + sour cream,Roberto's Taco Shop Clairemont,3095 Clairemont Dr,Clairemont,7.29,4,No,Beef; Guac; Cheese; Fries; Sour cream,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,
230,Carne asada,Roberto's Taco Shop Clairemont,3095 Clairemont Dr,Clairemont,5.69,3,No,Beef; Guac,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,
231,Carnitas,Chipotle,2505 Palomar airport Rd,Carlsbad,7.15,2.75,No,Beef; Sour cream; Pork; Rice; Beans; Bell; peper; Corn,https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,
232,Al pastor,Taco stand,2505 Palomar airport Rd,Carlsbad,6.99,4.5,No,,,
233,California,Taco stand,2505 Palomar airport Rd,Carlsbad,7.49,4.7,No,,,
234,California,Los Tacos,2505 Palomar airport Rd,Carlsbad,7.9,4.2,No,,,Tortilla is burnt a bit but good. Pick is good
235,Local,Los Tacos,2505 Palomar airport Rd,Carlsbad,7.9,4.3,No,,,Melted cheese is good. Cilantro is fresh
236,California,El Cuervo,110 Washington St,Hillcrest,6.95,3.6,No,Beef; Guac; Cheese; Fries; Sour cream,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,Alfajores dessert and horchata are super good
237,Pollo adobado,El Cuervo,110 Washington St,Hillcrest,5.95,4,No,Guac; Pork,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,First burrito I enjoyed from top to bottom
238,Asada,El Torrito Foods,249 Emerald Dr,Vista,5.49,3.1,No,Beef; Rice; Beans; Cilantro; Onion,https://www.yelp.com/biz/el-torito-foods-vista-2,Good because so cheap
239,Adobada,El Torrito Foods,249 Emerald Dr,Vista,3.99,2.6,No,Pork; Rice; Beans; Cilantro; Onion,https://www.yelp.com/biz/el-torito-foods-vista-2,tamale isn't good
